1,1,0
1,16,0
1,17,0
1,32,0
2,2,0
2,15,0
2,18,0
2,31,0
3,3,0
3,14,0
3,19,0
3,30,0
4,4,0
4,13,0
4,20,0
4,29,0
5,5,0
5,12,0
5,21,0
5,28,0
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,1
6,11,1
6,12,3
6,13,3
6,14,3
6,15,3
6,16,3
6,17,3
6,18,3
6,19,3
6,20,3
6,21,3
6,22,1
6,27,1
6,28,2
6,29,2
6,30,2
6,31,2
6,32,2
7,7,0
7,10,0
7,23,0
7,26,0
8,8,0
8,9,0
8,24,0
8,25,0
11,1,4
11,2,4
11,3,4
11,4,4
11,5,4
11,6,4
11,7,4
11,8,4
11,9,4
11,10,4
11,11,4
11,12,4
11,13,4
11,14,4
11,15,4
11,16,4
11,17,4
11,18,4
11,19,4
11,20,4
11,21,4
11,22,4
11,23,4
11,24,4
11,25,4
11,26,4
11,27,4
11,28,4
11,29,4
11,30,4
11,31,4
11,32,4
12,1,4
12,2,4
12,3,4
12,4,4
12,5,4
12,6,4
12,7,4
12,8,4
12,9,4
12,10,4
12,11,4
12,12,4
12,13,4
12,14,4
12,15,4
12,16,4
12,17,4
12,18,4
12,19,4
12,20,4
12,21,4
12,22,4
12,23,4
12,24,4
12,25,4
12,26,4
12,27,4
12,28,4
12,29,4
12,30,4
12,31,4
12,32,4
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
15,6,3
15,7,3
15,8,3
15,9,3
15,10,3
15,11,3
15,12,3
15,13,3
15,14,3
15,15,3
15,16,3
15,17,3
15,18,3
15,19,3
15,20,3
15,21,3
15,22,3
15,23,3
15,24,3
15,25,3
15,26,3
15,27,3
15,28,3
15,29,3
15,30,3
15,31,3
15,32,3
16,1,3
16,2,3
16,3,3
16,4,3
16,5,3
16,6,3
16,7,3
16,8,3
16,9,3
16,10,3
16,11,3
16,12,3
16,13,3
16,14,3
16,15,3
16,16,3
16,17,3
16,18,3
16,19,3
16,20,3
16,21,3
16,22,3
16,23,3
16,24,3
16,25,3
16,26,3
16,27,3
16,28,3
16,29,3
16,30,3
16,31,3
16,32,3
22,3,0
22,4,0
22,5,0
22,6,0
22,11,0
22,12,0
22,13,0
22,14,0
22,19,0
22,20,0
22,21,0
22,22,0
22,27,0
22,28,0
22,29,0
22,30,0
23,3,0
23,4,0
23,5,0
23,6,0
23,11,0
23,12,0
23,13,0
23,14,0
23,19,0
23,20,0
23,21,0
23,22,0
23,27,0
23,28,0
23,29,0
23,30,0
25,8,4
25,9,4
25,16,4
25,17,4
25,24,4
25,25,4
26,8,4
26,9,4
26,16,4
26,17,4
26,24,4
26,25,4
31,2,2
31,4,2
31,6,2
31,8,2
31,10,2
31,12,2
31,14,2
31,16,2
31,17,2
31,19,2
31,21,2
31,23,2
31,25,2
31,27,2
31,29,2
31,31,2
34,1,101
